Map Dimensions,,,,,,,,,,,,,,,,,,
Tiles X,19,,,,,,,,,,,,,,,,,
Tiles Y,30,,,,,,,,,,,,,,,,,
Tile size,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Map Definitions,Symbol,width,height,,,,,,,,,,,,,,,
BLOCK,1,2,2,,,,,,,,,,,,,,,
PLATFORM,2,2,1,,,,,,,,,,,,,,,
BAT,3,1,1,,,,,,,,,,,,,,,
EMPTY,4,1,1,,,,,,,,,,,,,,,
CHARACTER,5,2,1,,,,,,,,,,,,,,,
BLOB_REGEN,6,1,1,,,,,,,,,,,,,,,
GOAL,7,1,1,,,,,,,,,,,,,,,
ANGRY_POWERUP,8,1,1,,,,,,,,,,,,,,,
BREAKABLE_WALL,10,2,2,,,,,,,,,,,,,,,
MOVING_PLATF,11,2,1,,,,,,,,,,,,,,,
ARROW_TRAP,9,1,1,,,,,,,,,,,,,,,
SPIKES_NORTH,12,2,1,,,,,,,,,,,,,,,
SPIKES_WEST,13,1,2,,,,,,,,,,,,,,,
SPIKES_EAST,14,1,2,,,,,,,,,,,,,,,
SPIKES_SOUTH,15,2,1,,,,,,,,,,,,,,,
PLAYER_DETECTOR,16,1,1,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Map Data,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4
1,1,4,6,4,3,4,4,4,4,4,4,4,4,4,4,4,10,4
1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,10,7
1,1,4,4,4,4,4,4,11,4,3,4,4,4,4,4,4,2,2
1,1,4,4,4,4,2,4,4,4,4,4,4,11,4,2,4,4,4
1,1,4,4,4,4,15,4,4,4,4,4,4,15,4,4,4,4,4
1,1,4,4,4,4,4,4,11,4,4,4,2,4,4,4,4,4,4
1,1,4,4,2,4,4,4,4,4,4,4,4,11,3,4,4,4,4
1,1,4,4,15,4,4,4,4,4,4,6,4,15,4,4,2,4,4
1,1,4,4,4,4,4,4,11,4,4,1,4,4,4,4,4,4,8
1,1,4,4,4,4,4,4,4,4,4,1,4,11,4,4,4,4,2
1,1,4,4,4,4,4,4,4,4,4,1,4,15,4,4,4,4,4
1,1,4,2,4,4,4,4,11,4,4,1,4,4,4,4,4,4,4
1,1,4,4,4,4,8,4,4,4,4,1,4,4,4,2,4,4,4
1,1,4,4,4,4,2,4,4,2,4,1,4,4,4,4,4,4,4
1,1,4,4,4,4,4,4,11,4,4,10,4,4,4,4,4,4,4
1,1,4,4,4,4,4,4,4,4,4,1,2,2,4,4,4,2,2
1,1,4,4,4,4,4,4,4,4,13,1,4,4,4,4,4,4,13
1,1,4,4,15,4,4,4,4,4,13,1,6,4,4,4,4,4,13
1,1,4,4,4,4,4,4,4,4,4,1,14,4,4,4,4,4,13
1,1,5,4,4,4,4,12,12,4,4,1,14,4,12,4,4,4,13
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1